,precision,recall,f1-score,support
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554,1.0,1.0,1.0,51200.0
T1003.001_35d92515122effdd73801c6ac3021da7,1.0,0.9997916666666666,0.9998958224815084,4800.0
T1003.002_5a484b65c247675e3b7ada4ba648d376,1.0,1.0,1.0,4000.0
T1003.002_7fa4ea18694f2552547b65e23952cabb,1.0,1.0,1.0,12000.0
T1003.003_9f73269695e54311dd61dc68940fb3e1,0.9446766092857417,0.9625,0.9535050209933634,256000.0
T1003.003_f049b89533298c2d6cd37a940248b219,0.980029000509006,0.895,0.9355865484933308,256000.0
T1003_18f31c311ac208802e88ab8d5af8603e,1.0,1.0,1.0,4800.0
T1007_9d03c91bdae5a80f17f89c987942b5a8,1.0,1.0,1.0,4800.0
T1007_c6607391-d02c-44b5-9b13-d3492ca58599,0.9327410178474008,0.935,0.9338691428348483,256000.0
T1007_d6bb2a19da7246731ed9c44831b135f8,0.13047363717605004,0.060833333333333336,0.08297811878374538,2400.0
T1016_14a21534-350f-4d83-9dd7-3c56b93a0c17,0.9752495959703684,0.92875,0.9514319899798717,256000.0
T1016_71b3d2945679566b9d94d8cb11df4b70,0.9206399751178385,0.97125,0.9452680521524578,256000.0
T1016_7d8ee68f0e9731db82964f558f614608,0.47948814452389915,0.3185,0.3827549947423764,4000.0
T1016_921055f4-5970-4707-909e-62f594234d91,0.9456072825501417,0.94625,0.9459285321004189,256000.0
T1016_a0676fe1-cd52-482e-8dde-349b73f9aa69,0.9739680314877215,0.93375,0.9534350825341175,256000.0
T1016_e8017c46-acb8-400c-a4b5-b3362b5b5baa,0.9346206278361874,0.9775,0.95557952820552,256000.0
T1018_26c8b8b5-7b5b-4de1-a128-7d37fb14f517,0.9439090684457623,0.955,0.9494221448987201,256000.0
T1018_a44bb43474728496276d5d73aa14588f,0.934389660053508,0.985,0.9590275849741188,256000.0
T1018_ac20e592bc912bddff4d6b88289095f0,0.9169703609303851,0.96125,0.9385882272170752,256000.0
