Text,Attack ID
" Anomali



















BlogCollaborateSupportSchedule DemoDiscoverProductsMarketplaceResourcesPartnersCompanyAugust 9, 2020Anomali Threat Research Releases First Public Analysis of Smaug Ransomware as a Service<p><em>Authored by: Joakim Kennedy and Rory Gould</em></p> <p>Anomali ThreatStream customers can find Indicators of Compromise (IOCs), signatures, and <a href=""https://ui.threatstream.com/tip/942687"" target=""_blank"">more information about this threat here</a>.</p> <h2>Introduction</h2> <p>Threat actors and cybercriminals that don’t have the ability to develop their own ransomware for malicious campaigns can turn to the Smaug Ransomware as a Service (RaaS) offering, which is available via a Dark Web Onion site.",T1543
"The post also directed users as to how they could avail of the service: contacting smaug-ransomware@protonmail.com with a registration fee of 0.2 BTC (appx $1,900 (USD) at time of posting) and subsequent service fees of 20%.",T1543
"There has been no subsequent activity from <strong>corinda</strong> and the profile has not been active since June 6.</p> <p style=""text-align: center;""><em><strong><img alt=""Initial Smaug offering on Exploit.in"" src=""{assets_3962:https://www.anomali.com/images/uploads/blog/initial-smaug-offering.png}"" />Figure 1 </strong>- Initial Smaug offering on Exploit.in</em></p> <h3>Account History</h3> <p><strong>Corinda’s</strong> Exploit account was created on May 17, 2019 as a paid registration (paid registrations are completely anonymous and do not link to other accounts on ‘friendly forums’), and remained dormant until Oct. 2019.",T1068
"Do not be shy’</em></p> <p>These posts were recovered through Sixgill as the original topic has since been deleted and is no longer available on the forum.</p> <h2>Smaug Panel</h2> <p>Smaug developers shared screenshots of the product on their Onion site, it offers some insight as to how the product is to be used.</p> <h3>Registration</h3> <p>The site offers a registration form replete with captcha.",T1070.004
"A ‘Regular’ campaign will necessitate a decryption key for every victim infected, while a ‘Company’ campaign will allow a single key to decrypt all computers affected by the campaign.</p> <p style=""text-align: center;""><em><strong><img alt=""Campaign creation"" src=""{assets_3964:https://www.anomali.com/images/uploads/blog/campaign-creation.png}"" /><br /> Figure 3</strong> - Campaign creation</em></p> <p>After the expiration date set by the user has passed, the campaign will expire and the victims can no longer recover their files.</p> <h4>Manage Campaign</h4> <p>With a campaign created, a user can download the relevant payload for the system(s) they are attempting to infect; Mac, Linux and Windows are all available.",T1573
"The interface allows the user to track the campaign dates and profits they have accumulated.</p> <p style=""text-align: center;""><em><strong><img alt=""Campaign management"" src=""{assets_3965:https://www.anomali.com/images/uploads/blog/campaign-management.png}"" /><br /> Figure 4</strong> - Campaign management</em></p> <h3>Fund Withdrawal</h3> <p>Once a victim has paid the ransom, the user is able to navigate to the ‘Withdrawal’ page.",T1033
"They also claim to take feature requests, they will create them for a fee or incorporate them for free if enough users request it.</p> <p style=""text-align: center;""><em><strong><img alt=""Support service"" src=""{assets_3968:https://www.anomali.com/images/uploads/blog/smaug-fund-overview.png}"" /><br /> Figure 6</strong> - Support service</em></p> <h3>Settings</h3> <p>The settings page is bare-boned and allows for users to change passwords.</p> <p style=""text-align: center;""><em><strong><img alt=""Settings page"" src=""{assets_3970:https://www.anomali.com/images/uploads/blog/settings-page.png}"" /><br /> Figure 7</strong> - Settings page</em></p> <h2>The Ransomware</h2> <p>The Smaug ransomware is written in Go (Golang).",T1071
"They also claim to take feature requests, they will create them for a fee or incorporate them for free if enough users request it.</p> <p style=""text-align: center;""><em><strong><img alt=""Support service"" src=""{assets_3968:https://www.anomali.com/images/uploads/blog/smaug-fund-overview.png}"" /><br /> Figure 6</strong> - Support service</em></p> <h3>Settings</h3> <p>The settings page is bare-boned and allows for users to change passwords.</p> <p style=""text-align: center;""><em><strong><img alt=""Settings page"" src=""{assets_3970:https://www.anomali.com/images/uploads/blog/settings-page.png}"" /><br /> Figure 7</strong> - Settings page</em></p> <h2>The Ransomware</h2> <p>The Smaug ransomware is written in Go (Golang).",T1543
The key is encrypted by the threat actor&#39;s RSA public key which means the machine key can only be encrypted by a threat actor&#39;s private key.,T1027
The key is encrypted by the threat actor&#39;s RSA public key which means the machine key can only be encrypted by a threat actor&#39;s private key.,T1521
"The ransomware is designed to run completely offline without the requirement of a network connection.</p> <p style=""text-align: center;""><em><strong><img alt=""Extracted source code structure from a malware sample"" src=""{assets_3971:https://www.anomali.com/images/uploads/blog/extracted-malware-source-code.png}"" /><br /> Figure 8</strong> - Extracted source code structure from a malware sample.</em></p> <p>Go binaries do not include a compilation timestamp.",T1140
"after this action, generates a 32 byte slice of randomness via the call to “crypt/rand.Read”.<sup>[2]</sup> This function on Windows uses the “CryptGenRandom” API to generate the random data.",T1106
The random data is encrypted with the threat actor’s 2048 bit key using RSA Optimal Asymmetric Encryption Padding (OAEP).</p> <h3>File Encryption</h3> <p>The malware uses a pair of “goroutines“ for each disk partition for the encryption of files.,T1027
The random data is encrypted with the threat actor’s 2048 bit key using RSA Optimal Asymmetric Encryption Padding (OAEP).</p> <h3>File Encryption</h3> <p>The malware uses a pair of “goroutines“ for each disk partition for the encryption of files.,T1521
The first routine scans the partition for all files and compares the file extension against the list of extensions shown in Figure 9 below.,T1083
