label,precision,recall,f1-score,support
T1059.001_702bfdd2-9947-4eda-b551-c3a1ea9a59a2_B,0.0,0.0,0.0,1.0
T1491_68235976-2404-42a8-9105-68230cfef562_B,0.0,0.0,0.0,2.0
T1040_6881a4589710d53f0c146e91db513f01_B,0.0,0.0,0.0,1.0
T1564.001_66a5fd5f244819181f074dd082a28905_B,0.0,0.0,0.0,2.0
T1047_f4b0b4129560ea66f9751275e82f6bab_B,0.0,0.0,0.0,1.0
T1047_ac2764f7a67a9ce92b54e8e59b361838_B,0.0,0.0,0.0,1.0
T1518.001_33a24ff44719e6ac0614b58f8c9a7c72_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.0,0.0,0.0,10.0
T1547_fe9eeee9a7b339089e5fa634b08522c1_I,0.0,0.0,0.0,22.0
T1574.001_63bbedafba2f541552ac3579e9e3737b_B,0.0,0.0,0.0,2.0
T1137.002_e2af3c3ab1b0f659c874b8af58c49759_B,0.0,0.0,0.0,19.0
T1105_e6715e61f5df646692c624b3499384c4_B,0.0,0.0,0.0,2.0
T1105_4f683658f161ccdc51337c470d32bab9_B,0.0,0.0,0.0,1.0
T1112_4bfb5f265a5ce07af6bf10da113af7db_B,0.0,0.0,0.0,2.0
T1105_60f63260-39bb-4136-87a0-b6c2dca799fc_I,0.0,0.0,0.0,29.0
T1007_d6bb2a19da7246731ed9c44831b135f8_B,0.0,0.0,0.0,2.0
T1496_46da2385-cf37-49cb-ba4b-a739c7a19de4_B,0.0,0.0,0.0,1.0
T1115_70795de7cbb842edb029b3378c27c008_B,0.0,0.0,0.0,1.0
T1105_60f63260-39bb-4136-87a0-b6c2dca799fc_B,0.0,0.0,0.0,1.0
T1003.001_0ef4cc7b-611c-4237-b20b-db36b6906554_B,0.0,0.0,0.0,1.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_B,0.0,0.0,0.0,1.0
T1059.001_702bfdd2-9947-4eda-b551-c3a1ea9a59a2_I,0.0,0.0,0.0,4.0
T1047_f4b0b4129560ea66f9751275e82f6bab_I,0.0,0.0,0.0,1.0
T1562.002_6a8d25d65a7d481dc479f89c62af1e6a_I,0.0,0.0,0.0,24.0
T1518_8ddfaf982ab359cda13626b870ccb339_I,0.0,0.0,0.0,2.0
T1219_f1b3fca18d7465cd10e5a7477a3bf97d_B,0.0,0.0,0.0,1.0
T1112_cd8be0e6b873919da25530a2c7ea6750_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1518.001_2dece965-37a0-4f70-a391-0f30e3331aba_B,0.0,0.0,0.0,1.0
T1547.001_4b71ebb2f6f6a01235ba240fa40ce978_I,0.0,0.0,0.0,30.0
T1547.001_777043894e42d2aae3881e63f6c76d33_I,0.0,0.0,0.0,3.0
T1040_6881a4589710d53f0c146e91db513f01_I,0.0,0.0,0.0,5.0
