label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.0,0.0,0.0,10.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,2.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db_B,0.0,0.0,0.0,1.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_I,0.0,0.0,0.0,14087.0
T1567_3d3d378b0bf66f763b0c9d7a129eb130_I,0.0,0.0,0.0,5.0
T1071.001_24c3b7b004401d839a5c337201da3484_I,0.0,0.0,0.0,20.0
T1071.001_24c3b7b004401d839a5c337201da3484_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1567_3d3d378b0bf66f763b0c9d7a129eb130_B,0.0,0.0,0.0,1.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_B,0.0,0.0,0.0,1.0
O,0.9961089494163424,0.0002153294372163287,0.0004305657987794469,1188876.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.012926681478489193,0.00021279903043441758,0.0004187053336680795,1203013.0
macro avg,0.08300907911802853,1.794411976802739e-05,3.588048323162057e-05,1203013.0
weighted avg,0.9844033467188663,0.00021279903043441758,0.0004255060789781272,1203013.0
