label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1046_5a4cb2be-2684-4801-9355-3a90c91e0004_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1219_7dabcbecab0334b115feefab1630f84a_B,0.0,0.0,0.0,1.0
T1219_7dabcbecab0334b115feefab1630f84a_I,0.0,0.0,0.0,99.0
T1046_5a4cb2be-2684-4801-9355-3a90c91e0004_I,0.0,0.0,0.0,1022.0
O,1.0,0.0001915096686362326,0.0003829459994110124,960787.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.968421052631579,0.00019128409846972723,0.0003824926463709971,961920.0
macro avg,0.125,2.3938708579529074e-05,4.786824992637655e-05,961920.0
weighted avg,0.9988221473719229,0.00019128409846972723,0.0003824949454591945,961920.0
