label,precision,recall,f1-score,support
T1105_0856c235a1d26113d4f2d92e39c9a9f8_B,0.0,0.0,0.0,1.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_I,0.0,0.0,0.0,6.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1547.001_4b71ebb2f6f6a01235ba240fa40ce978_I,0.0,0.0,0.0,3.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1053.005_5db2884b6ca3ab932848f295a3896dc0_B,0.0,0.0,0.0,1.0
T1547.001_4b71ebb2f6f6a01235ba240fa40ce978_B,0.0,0.0,0.0,1.0
O,1.0,0.00019641634280491224,0.00039275554200264795,2072129.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,1.0,0.0001964142574551758,0.00039275137294107087,2072151.0
macro avg,0.1111111111111111,2.1824038089434692e-05,4.3639504666960884e-05,2072151.0
weighted avg,0.9999893830131106,0.0001964142574551758,0.0003927513721222077,2072151.0
