label,precision,recall,f1-score,support
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9_I,0.0,0.0,0.0,5.0
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.0,0.0,0.0,10.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,2.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db_B,0.0,0.0,0.0,1.0
T1071.001_24c3b7b004401d839a5c337201da3484_I,0.0,0.0,0.0,20.0
T1071.001_24c3b7b004401d839a5c337201da3484_B,0.0,0.0,0.0,1.0
T1547.001_163b023f43aba758d36f524d146cb8ea_I,0.0,0.0,0.0,4.0
T1112_35c0360d226cf38104f300d9d57ce60e_I,0.0,0.0,0.0,2.0
T1047_b0255b5120cbabc062d8d4510a142c3b_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1112_35c0360d226cf38104f300d9d57ce60e_B,0.0,0.0,0.0,1.0
O,1.0,0.00041114148236835567,0.0008219450290390469,442670.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9_B,0.0,0.0,0.0,1.0
T1053.005_ee454be9197890de62705ce6255933fd_B,0.0,0.0,0.0,1.0
T1547.001_163b023f43aba758d36f524d146cb8ea_B,0.0,0.0,0.0,1.0
micro avg,0.1164427383237364,0.0004110866918589024,0.000819281013387592,442729.0
macro avg,0.0625,2.569634264802223e-05,5.137156431494043e-05,442729.0
weighted avg,0.9998667356328589,0.0004110866918589024,0.0008218354930549273,442729.0
