label,precision,recall,f1-score,support
T1047_b0255b5120cbabc062d8d4510a142c3b,0.0,0.0,0.0,1.0
T1053.005_ee454be9197890de62705ce6255933fd,0.0,0.0,0.0,1.0
T1071.001_24c3b7b004401d839a5c337201da3484,0.0,0.0,0.0,21.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db,0.0,0.0,0.0,1.0
T1112_35c0360d226cf38104f300d9d57ce60e,0.0,0.0,0.0,3.0
T1204.002_522f3f35cd013e63830fa555495a0081,0.0,0.0,0.0,12.0
T1491_47d08617-5ce1-424a-8cc5-c9c978ce6bf9,0.0,0.0,0.0,6.0
T1547.001_163b023f43aba758d36f524d146cb8ea,0.0,0.0,0.0,5.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,0.0,0.0,0.0,9.0
micro avg,0.0,0.0,0.0,59.0
macro avg,0.0,0.0,0.0,59.0
weighted avg,0.0,0.0,0.0,59.0
