label,precision,recall,f1-score,support
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_B,0.0,0.0,0.0,1.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_I,0.0,0.0,0.0,16.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1564.003_9a2edad4053a2b59fb9167a9bc29e7dc_B,0.0,0.0,0.0,1.0
T1562.001_43e3334362b140924f001b256b229ee5_I,0.0,0.0,0.0,3.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_I,0.0,0.0,0.0,4.0
T1562.001_43e3334362b140924f001b256b229ee5_B,0.0,0.0,0.0,1.0
T1564.003_9a2edad4053a2b59fb9167a9bc29e7dc_I,5.703855806525211e-05,1.0,0.00011407060970740888,1.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861_I,0.0,0.0,0.0,9.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861_B,0.0,0.0,0.0,1.0
T1055.002_e5bcefee-262d-4568-a261-e8a20855ec81_B,0.0,0.0,0.0,1.0
O,1.0,0.0002308582956264784,0.00046161002474939903,844674.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.003665812557278321,0.00023202872420900105,0.00043643327135683984,844723.0
macro avg,0.06667046923720435,0.06668205721970843,3.83787089637872e-05,844723.0
weighted avg,0.9999419928864711,0.00023202872420900105,0.0004615833830921895,844723.0
