label,precision,recall,f1-score,support
T1055.002_e5bcefee-262d-4568-a261-e8a20855ec81,0.0,0.0,0.0,1.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f,0.0,0.0,0.0,17.0
T1204.002_522f3f35cd013e63830fa555495a0081,0.0,0.0,0.0,1.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3,0.0,0.0,0.0,5.0
T1547.009_501af516bd8b24fee0c7c650ae5cc861,0.0,0.0,0.0,10.0
T1562.001_43e3334362b140924f001b256b229ee5,0.0,0.0,0.0,4.0
T1564.003_9a2edad4053a2b59fb9167a9bc29e7dc,4.439511653718091e-05,1.0,8.878629139660837e-05,2.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,0.0,0.0,0.0,9.0
micro avg,3.4819547694075456e-05,0.04081632653061224,6.957973838018369e-05,49.0
macro avg,5.549389567147614e-06,0.125,1.1098286424576046e-05,49.0
weighted avg,1.8120455729461596e-06,0.04081632653061224,3.6239302610860557e-06,49.0
