label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.0,0.0,0.0,10.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,2.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db_B,0.0,0.0,0.0,1.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_I,0.0,0.0,0.0,4.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1016_e8017c46-acb8-400c-a4b5-b3362b5b5baa_B,0.0,0.0,0.0,1.0
O,1.0,7.738077598100713e-05,0.00015474957731963855,607386.0
T1036.004_1f0614ea5c4af6faf1b44570f5f22f8a_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
T1053.005_ee454be9197890de62705ce6255933fd_B,0.0,0.0,0.0,1.0
micro avg,0.04315886134067952,7.737695417967258e-05,0.00015447695581794727,607416.0
macro avg,0.09090909090909091,7.034615998273376e-06,1.4068143392694414e-05,607416.0
weighted avg,0.999950610454779,7.737695417967258e-05,0.00015474193430839157,607416.0
