label,precision,recall,f1-score,support
T1016_e8017c46-acb8-400c-a4b5-b3362b5b5baa,0.0,0.0,0.0,1.0
T1036.004_1f0614ea5c4af6faf1b44570f5f22f8a,0.0,0.0,0.0,1.0
T1053.005_ee454be9197890de62705ce6255933fd,0.0,0.0,0.0,1.0
T1082_29451844-9b76-4e16-a9ee-d6feab4b24db,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081,0.0,0.0,0.0,12.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3,0.0,0.0,0.0,5.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,0.0,0.0,0.0,9.0
micro avg,0.0,0.0,0.0,30.0
macro avg,0.0,0.0,0.0,30.0
weighted avg,0.0,0.0,0.0,30.0
