label,precision,recall,f1-score,support
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_B,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1518.001_2dece965-37a0-4f70-a391-0f30e3331aba_B,0.0,0.0,0.0,1.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_I,0.0,0.0,0.0,14087.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_I,0.0,0.0,0.0,5.0
T1021.001_dd67068b052fa553ad4a0ac7d6a5ea89_B,0.0,0.0,0.0,1.0
T1033_c0da588f-79f0-4263-8998-7496b1a40596_B,0.0,0.0,0.0,1.0
T1021.001_dd67068b052fa553ad4a0ac7d6a5ea89_I,0.0,0.0,0.0,6.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_B,0.0,0.0,0.0,1.0
T1059.001_bfff9006-d1fb-46ce-b173-92cb04e9a031_B,0.0,0.0,0.0,1.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_I,0.0,0.0,0.0,3.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_B,0.0,0.0,0.0,1.0
O,0.9743589743589743,0.0002691751905477007,0.0005382016981679898,141172.0
T1059.001_bfff9006-d1fb-46ce-b173-92cb04e9a031_I,0.0,0.0,0.0,6.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.001020024695334729,0.00024469400370904593,0.00039470267462996623,155296.0
macro avg,0.060897435897435896,1.6823449409231293e-05,3.363760613549936e-05,155296.0
weighted avg,0.8857420997849599,0.00024469400370904593,0.0004892528470390187,155296.0
