label,precision,recall,f1-score,support
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5,0.0,0.0,0.0,14088.0
T1021.001_dd67068b052fa553ad4a0ac7d6a5ea89,0.0,0.0,0.0,7.0
T1033_c0da588f-79f0-4263-8998-7496b1a40596,0.0,0.0,0.0,1.0
T1059.001_bfff9006-d1fb-46ce-b173-92cb04e9a031,0.0,0.0,0.0,7.0
T1204.002_522f3f35cd013e63830fa555495a0081,0.0,0.0,0.0,1.0
T1518.001_2dece965-37a0-4f70-a391-0f30e3331aba,0.0,0.0,0.0,1.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3,0.0,0.0,0.0,6.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c,0.0,0.0,0.0,4.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,0.0,0.0,0.0,9.0
micro avg,0.0,0.0,0.0,14124.0
macro avg,0.0,0.0,0.0,14124.0
weighted avg,0.0,0.0,0.0,14124.0
