label,precision,recall,f1-score,support
T1007_9d03c91bdae5a80f17f89c987942b5a8,0.0,0.0,0.0,7.0
T1016_7d8ee68f0e9731db82964f558f614608,0.0,0.0,0.0,1.0
T1049_638fb6bb-ba39-4285-93d1-7e4775b033a8,0.0,0.0,0.0,1.0
T1069.001_a1f48fa3ddee658b29b414523c9a295b,0.0,0.0,0.0,1.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8,0.0,0.0,0.0,21.0
T1087.001_6334877e8e3ba48f7835d4856d90a282,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081,0.0,0.0,0.0,12.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,0.0,0.0,0.0,9.0
micro avg,0.0,0.0,0.0,53.0
macro avg,0.0,0.0,0.0,53.0
weighted avg,0.0,0.0,0.0,53.0
