label,precision,recall,f1-score,support
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.0,0.0,0.0,10.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,2.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_B,0.0,0.0,0.0,1.0
T1049_638fb6bb-ba39-4285-93d1-7e4775b033a8_B,0.0,0.0,0.0,1.0
T1007_9d03c91bdae5a80f17f89c987942b5a8_I,0.0,0.0,0.0,6.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_I,0.0,0.0,0.0,20.0
T1069.001_a1f48fa3ddee658b29b414523c9a295b_B,0.0,0.0,0.0,1.0
T1087.001_6334877e8e3ba48f7835d4856d90a282_B,0.0,0.0,0.0,1.0
T1007_9d03c91bdae5a80f17f89c987942b5a8_B,0.0,0.0,0.0,1.0
O,1.0,0.00014625682488007466,0.000292470873898763,950383.0
T1016_7d8ee68f0e9731db82964f558f614608_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.04005763688760807,0.00014624866903189694,0.0002914333278121744,950436.0
macro avg,0.07692307692307693,1.1250524990774975e-05,2.2497759530674078e-05,950436.0
weighted avg,0.9999442361190022,0.00014624866903189694,0.0002924545645877556,950436.0
