label,precision,recall,f1-score,support
T1090.001_ba343199a4f15ed6b57eb52412f62e4e_I,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081_B,0.0,0.0,0.0,1.0
T1016_71b3d2945679566b9d94d8cb11df4b70_B,0.0,0.0,0.0,1.0
T1049_638fb6bb-ba39-4285-93d1-7e4775b033a8_B,0.0,0.0,0.0,1.0
T1490_c156ac5c9fa67080365268d95f29053d_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_B,0.0,0.0,0.0,1.0
T1055.002_e5bcefee-262d-4568-a261-e8a20855ec81_B,0.0,0.0,0.0,1.0
T1036.003_04e8d83e7badf098d50800d6aa1dd487_I,0.0,0.0,0.0,22.0
O,1.0,0.000252619169584652,0.0005051107385139923,285014.0
T1090.001_ba343199a4f15ed6b57eb52412f62e4e_B,0.0,0.0,0.0,1.0
T1036.003_04e8d83e7badf098d50800d6aa1dd487_B,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a_I,0.0,0.0,0.0,8.0
micro avg,0.8888888888888888,0.0002525846070730706,0.0005050257072113462,285053.0
macro avg,0.08333333333333333,2.1051597465387666e-05,4.209256154283269e-05,285053.0
weighted avg,0.9998631833378354,0.0002525846070730706,0.0005050416309487253,285053.0
