label,precision,recall,f1-score,support
T1003.003_f049b89533298c2d6cd37a940248b219,0.0,0.0,0.0,1.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8,0.0,0.0,0.0,7.0
T1120_7b9c7afaefa59aab759b49af0d699ac1,0.0,0.0,0.0,7.0
T1135_deeac480-5c2a-42b5-90bb-41675ee53c7e,0.0,0.0,0.0,1.0
T1204.002_522f3f35cd013e63830fa555495a0081,0.0,0.0,0.0,1.0
T1499_2fe2d5e6-7b06-4fc0-bf71-6966a1226731,0.0,0.0,0.0,1.0
T1552.002_3e5b04b8ee0a1a4950da8f35d95e65fc,0.0,0.0,0.0,1.0
T1562.004_280003641a5cddf916c4f2bf605a71d3,0.0,0.0,0.0,1.0
T1566.001_1afaec09315ab71fdfb167175e8a019a,0.0,0.0,0.0,9.0
micro avg,0.0,0.0,0.0,29.0
macro avg,0.0,0.0,0.0,29.0
weighted avg,0.0,0.0,0.0,29.0
