label,precision,recall,f1-score,support
T1112_34041639e6e501856ecaf5969ee29c76_I,1.0,0.7105263157894737,0.8307692307692308,38.0
T1547.001_1f15ab22c39a9b6bb2bb0d77276dfcb3_I,0.5,0.22807017543859648,0.3132530120481928,57.0
T1499_2fe2d5e6-7b06-4fc0-bf71-6966a1226731_B,0.9545454545454546,1.0,0.9767441860465116,21.0
T1036.003_04e8d83e7badf098d50800d6aa1dd487_B,0.0,0.0,0.0,21.0
T1562.002_6a8d25d65a7d481dc479f89c62af1e6a_I,1.0,0.22727272727272727,0.37037037037037035,44.0
T1059.001_ccdb8caf-c69e-424b-b930-551969450c57_B,1.0,1.0,1.0,16.0
T1074.001_6469befa-748a-4b9c-a96d-f191fde47d89_I,0.975609756097561,0.8695652173913043,0.9195402298850575,46.0
T1547.001_777043894e42d2aae3881e63f6c76d33_B,0.9545454545454546,1.0,0.9767441860465116,21.0
T1047_f4b0b4129560ea66f9751275e82f6bab_B,1.0,0.9473684210526315,0.972972972972973,19.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_B,1.0,1.0,1.0,19.0
T1016_a0676fe1-cd52-482e-8dde-349b73f9aa69_B,1.0,1.0,1.0,17.0
T1518.001_2dece965-37a0-4f70-a391-0f30e3331aba_B,1.0,1.0,1.0,17.0
T1016_921055f4-5970-4707-909e-62f594234d91_B,1.0,1.0,1.0,20.0
T1003.002_7fa4ea18694f2552547b65e23952cabb_B,1.0,1.0,1.0,19.0
T1518_c9be8043-a445-4cbf-b77b-ed7bb007fc7c_I,0.4666666666666667,0.7,0.56,40.0
T1564.004_76b6066fe170d38215251102e42be973_I,0.3148148148148148,0.425,0.3617021276595745,80.0
T1547.001_d3ef4145e4144fd694514b1c5cc17350_B,1.0,1.0,1.0,20.0
T1564.004_28862487a99f5f89bc0d68c87396c7e9_B,0.25,0.2,0.2222222222222222,15.0
T1036.003_f5ef8466e5ebcd2ae03f338d9416069c_I,0.7894736842105263,0.44642857142857145,0.5703422053231939,672.0
T1003.002_5a484b65c247675e3b7ada4ba648d376_I,0.03669724770642202,0.05,0.042328042328042326,80.0
T1105_0856c235a1d26113d4f2d92e39c9a9f8_I,0.9125,0.6347826086956522,0.7487179487179487,115.0
T1562.004_8fe59e288f10a486dc8b44bc872019ff_B,1.0,1.0,1.0,16.0
T1105_1095434782a00c8a4772a11e625bcf5d_B,1.0,1.0,1.0,18.0
T1053.005_5db2884b6ca3ab932848f295a3896dc0_B,0.8636363636363636,0.8260869565217391,0.8444444444444444,23.0
T1548.002_665432a4-42e7-4ee1-af19-a9a8c9455d0c_B,1.0,1.0,1.0,20.0
T1105_c521e0a70b243a0cf9217907ca3c6d27_B,1.0,0.782608695652174,0.8780487804878049,23.0
T1047_09e0f9cf2eb803a1c35deeecf3665fad_I,0.25,0.058823529411764705,0.09523809523809523,17.0
T1124_fa6e8607-e0b1-425d-8924-9b894da5a002_B,1.0,1.0,1.0,16.0
T1547.001_0dbdf1a2a87e718a6ac8a8e3415a7fac_B,1.0,1.0,1.0,21.0
T1053.005_ee454be9197890de62705ce6255933fd_B,1.0,1.0,1.0,22.0
T1204.002_522f3f35cd013e63830fa555495a0081_I,0.33587786259541985,0.5866666666666667,0.42718446601941745,150.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce_B,0.6470588235294118,0.4782608695652174,0.55,23.0
T1113_316251ed-6a28-4013-812b-ddf5b5b007f8_I,0.9333333333333333,0.7777777777777778,0.8484848484848485,90.0
T1115_70795de7cbb842edb029b3378c27c008_I,0.8456375838926175,0.39375,0.5373134328358209,320.0
T1562.004_280003641a5cddf916c4f2bf605a71d3_B,1.0,1.0,1.0,18.0
T1036.004_7de3d7b4922a7b996d8df36fb22bb118_B,0.7777777777777778,0.7,0.7368421052631579,20.0
T1083_52177cc1-b9ab-4411-ac21-2eadc4b5d3b8_I,0.8103448275862069,0.13823529411764707,0.23618090452261306,340.0
T1562.002_94f51bf01a7036fe02d07b4c18967669_B,1.0,1.0,1.0,22.0
T1219_7dabcbecab0334b115feefab1630f84a_I,0.9283513097072419,0.7870672762900065,0.8518911276069282,1531.0
T1562.004_8d0a4585e7c4646185a912b14cd9cb46_I,0.8275862068965517,1.0,0.9056603773584906,24.0
T1552.002_3e5b04b8ee0a1a4950da8f35d95e65fc_B,1.0,1.0,1.0,27.0
T1057_8adf02e8-6e71-4244-886c-98c402857404_I,0.3956386292834891,0.5291666666666667,0.45276292335115864,240.0
T1560_a1ee301b0508747b468d578a14e5c1a5_I,0.9884821754642246,0.9452518468770987,0.9663837851198813,37225.0
T1074.001_e6dfc7e89359ac6fa6de84b0e1d5762e_I,0.4,0.12571428571428572,0.19130434782608696,175.0
T1546.013_f9a968af61d36983448c74cca5464e17_B,1.0,1.0,1.0,18.0
T1491_68235976-2404-42a8-9105-68230cfef562_B,1.0,0.047619047619047616,0.09090909090909091,21.0
T1562.002_94f51bf01a7036fe02d07b4c18967669_I,1.0,1.0,1.0,22.0
T1217_69bbe2183fa09c00ccaac62d48e214f8_I,0.36,0.125,0.18556701030927836,72.0
T1059.001_e5f9de8f-3df1-4e78-ad92-a784e3f6770d_I,0.3652594383485215,0.8088962108731467,0.503267136450993,2428.0
T1040_6881a4589710d53f0c146e91db513f01_B,1.0,1.0,1.0,20.0
T1531_b25ae80dad74142fafb510e9c1949ace_B,0.85,0.9444444444444444,0.8947368421052632,18.0
T1047_6935e41353aa781bb723462d26114c44_B,1.0,1.0,1.0,26.0
T1018_a44bb43474728496276d5d73aa14588f_B,0.6428571428571429,1.0,0.782608695652174,18.0
T1547.010_4593d72a5145e3f494421ac772d37464_I,1.0,0.08235294117647059,0.15217391304347827,85.0
T1119_344e7eaf650763e0d3e9f02e62c1cf4b_I,0.11428571428571428,0.05263157894736842,0.07207207207207207,76.0
T1125_da86001b5081fcf773d8e62f22cf2b00_I,0.8990825688073395,0.7101449275362319,0.7935222672064778,138.0
T1021.001_dd67068b052fa553ad4a0ac7d6a5ea89_B,1.0,1.0,1.0,23.0
T1055.001_a74bc239-a196-4f7e-8d5c-fe8c0266071c_B,1.0,0.8421052631578947,0.9142857142857143,19.0
T1547.001_163b023f43aba758d36f524d146cb8ea_B,1.0,1.0,1.0,24.0
T1059.001_6efbccc1869e8cd618c0d3ecda407d5f_B,0.4642857142857143,0.8125,0.5909090909090909,16.0
T1036.003_f5ef8466e5ebcd2ae03f338d9416069c_B,1.0,1.0,1.0,24.0
T1074.001_4e97e699-93d7-4040-b5a3-2e906a58199e_I,0.9827586206896551,0.48717948717948717,0.6514285714285715,234.0
T1005_720a3356-eee1-4015-9135-0fc08f7eb2d5_I,0.9913949598484308,0.9863905605464283,0.9888864288707726,253574.0
T1518_8ddfaf982ab359cda13626b870ccb339_B,1.0,1.0,1.0,21.0
T1219_f1b3fca18d7465cd10e5a7477a3bf97d_I,0.8992007104795737,0.8792878853669127,0.889132821075741,2303.0
T1547.004_aa147165f6c116cb0b0f944abe1db8ce_I,1.0,1.0,1.0,69.0
T1105_e6715e61f5df646692c624b3499384c4_B,1.0,0.8823529411764706,0.9375,17.0
T1564.001_dce51e632abdfe5392c7c1f942ac9273_B,1.0,1.0,1.0,22.0
T1486_d82ceb9939d3d920ee550187ad8235c8_I,0.23529411764705882,0.05,0.08247422680412371,80.0
T1046_5a4cb2be-2684-4801-9355-3a90c91e0004_I,0.9994822527757004,1.0,0.9997410593549501,17374.0
